                time                Date            Rainfall       Inifiltration          Runoff@end        WaterStorage       LeftDischarge      RightDischarge
  44660.1250  04/09/2022        0.0000       30.5680        0.0000        0.0000        0.0000        0.0000
  44660.1667  04/09/2022        0.0000       30.5760        0.0000        0.0000        0.0000        0.0000
  44660.2083  04/09/2022        0.0000       30.5823        0.0000        0.0000        0.0000        0.0000
  44660.2500  04/09/2022        0.0000       30.5824        0.0000        0.0000        0.0000        0.0000
  44660.2917  04/09/2022        0.0000       30.5800        0.0000        0.0000        0.0000        0.0000
  44660.3333  04/09/2022        0.0000       30.4975        0.0000        0.0000        0.0000        0.0000
  44660.3750  04/09/2022        0.0000       29.8107        0.0000        0.0000        0.0000        0.0000
  44660.4167  04/09/2022        0.0000       27.7893        0.0000        0.0000        0.0000        0.0000
  44660.4583  04/09/2022        0.0000       27.1798        0.0000        0.0000        0.0000        0.0000
  44660.5000  04/09/2022        0.0000       26.6418        0.0000        0.0000        0.0000        0.0000
  44660.5417  04/09/2022        0.0000       25.8415        0.0000        0.0000        0.0000        0.0000
  44660.5833  04/09/2022        0.0000       23.7826        0.0000        0.0000        0.0000        0.0000
  44660.6250  04/09/2022        0.0000       23.3151        0.0000        0.0000        0.0000        0.0000
  44660.6667  04/09/2022        0.0000       23.7183        0.0000        0.0000        0.0000        0.0000
  44660.7083  04/09/2022        0.0000       24.2027        0.0000        0.0000        0.0000        0.0000
  44660.7500  04/09/2022        0.0000       24.7837        0.0000        0.0000        0.0000        0.0000
  44660.7917  04/09/2022        0.0000       27.7513        0.0000        0.0000        0.0000        0.0000
  44660.8333  04/09/2022        0.0000       30.1005        0.0000        0.0000        0.0000        0.0000
  44660.8750  04/09/2022        0.0000       30.3240        0.0000        0.0000        0.0000        0.0000
  44660.9167  04/09/2022        0.0000       30.1604        0.0000        0.0000        0.0000        0.0000
  44660.9583  04/09/2022        0.0000       30.1833        0.0000        0.0000        0.0000        0.0000
  44661.0000  04/10/2022        0.0000       30.2090        0.0000        0.0000        0.0000        0.0000
  44661.0417  04/10/2022        0.0000       30.2689        0.0000        0.0000        0.0000        0.0000
  44661.0833  04/10/2022        0.0000       30.2973        0.0000        0.0000        0.0000        0.0000
  44661.1250  04/10/2022        0.0000       30.3262        0.0000        0.0000        0.0000        0.0000
  44661.1667  04/10/2022        0.0000       30.5408        0.0000        0.0000        0.0000        0.0000
